driver_id,total_fare,avg_distance
7,42.13,42.39
54,93.73,36.5
11,27.05,7.23
29,80.7,25.55
73,123.73,41.93
64,88.37,2.77
3,169.88,27.955
30,126.58,17.11
34,146.72,30.72
59,38.39,7.355
8,135.73000000000002,12.125
16,159.98,47.005
71,41.07,31.9
98,37.86,21.75
18,151.98000000000002,19.675
70,32.5,49.65
27,35.66,5.76
75,101.45,24.17
23,8.35,47.7
93,106.44,12.32
40,289.24,30.095
25,116.84,45.24
53,69.45,4.01
86,281.19,36.565
81,104.9,25.91
48,126.75,26.0
67,63.32,18.16
84,103.59,25.58
9,118.42999999999999,11.665
88,124.26,30.67
1,98.17,26.7
10,13.74,7.63
49,111.15,32.48
65,23.02,39.38
12,148.18,44.795
13,130.09,4.03
21,250.71,21.885
66,109.16,33.21
80,17.18,19.77
