driver_id,total_fare,avg_distance
7,42.13,42.39
54,93.73,36.5
29,80.7,25.55
73,123.73,41.93
3,77.17,41.66
30,126.58,17.11
59,5.72,7.63
8,59.83,13.35
16,159.98,47.005
71,41.07,31.9
98,37.86,21.75
18,151.98000000000002,19.675
70,32.5,49.65
27,35.66,5.76
75,101.45,24.17
23,8.35,47.7
93,106.44,12.32
40,289.24,30.095
25,116.84,45.24
53,15.56,5.34
81,104.9,25.91
48,126.75,26.0
84,103.59,25.58
9,118.42999999999999,11.665
88,124.26,30.67
1,98.17,26.7
10,13.74,7.63
65,23.02,39.38
12,148.18,44.795
21,131.65,13.15
80,17.18,19.77
